Papel,Segmento,Cotacao,FFO_Yield,Dividend_Yield,PVP,Valor_de_Mercado,Liquidez,Qtd_de_Imoveis,Preco_m2,Aluguel_m2,Cap_Rate,Vacancia_Media
ALZT11,Títulos e Val. Mob.,"33,00","15,52%","0,00%","0,79",16.500.000,0,0,"0,00","0,00","0,00%","0,00%"
ANCR11,Shoppings,"492,30","1,60%","0,29%","4,08",17.091.500.000,2.605,10,"38.735,60","970,07","2,50%","4,13%"
APTO11,Residencial,"8,42","12,80%","12,52%","0,86",38.835.000,33.991,3,"16.396,10","1.112,22","6,78%","0,00%"
APXM11,Shoppings,"72,75","5,32%","5,98%","0,57",205.820.000,626.354,1,"1.140,01","161,31","14,15%","100,00%"
ARCT11,Multicategoria,"87,13","-60,77%","0,00%","0,86",368.999.000,0,12,"1.100,84","99,19","9,01%","0,00%"
AROA11,Multicategoria,"1,13","7,13%","7,35%","1,19",189.757.000,5.282,6,"1.404,20","112,02","7,98%","0,00%"
ARRI11,Multicategoria,"6,79","10,82%","15,69%","0,81",140.736.000,261.712,0,"0,00","0,00","0,00%","0,00%"
ARXD11,Multicategoria,"7,90","14,98%","13,87%","0,87",69.743.500,70.331,0,"0,00","0,00","0,00%","0,00%"
ASMT11,Outros,"4,10","6,27%","0,00%","0,41",70.113.800,518,3,"4.554,15","766,71","16,84%","0,00%"
ASRF11,Multicategoria,"10.974,00","-1,08%","0,00%","1,03",43.896.000,8.505,2,"6.826,24","0,00","0,00%","0,00%"
ATSA11,Shoppings,"67,35","5,55%","3,99%","0,91",117.939.000,607,1,"3.436,32","206,18","6,00%","16,68%"
AURB11,Logística,"76,21","5,94%","3,67%","0,94",82.747.300,225.000,2,"2.040,06","170,78","8,37%","0,00%"
AZPL11,Logística,"7,65","7,23%","12,41%","0,89",320.709.000,810.665,1,"1.529,99","132,78","8,68%","0,00%"
BARI11,Outros,"79,20","13,79%","7,22%","1,01",367.028.000,0,1,"0,00","0,00","0,00%","0,00%"
BBFI11,Escritórios,"629,00","-5,43%","99,06%","18,55",81.770.000,0,0,"0,00","0,00","0,00%","0,00%"
BBFO11,Multicategoria,"72,00","14,94%","12,39%","0,93",288.281.000,627.240,0,"0,00","0,00","0,00%","0,00%"
BBGO11,Outros,"77,01","19,38%","8,89%","0,83",308.438.000,530.460,0,"0,00","0,00","0,00%","0,00%"
BBIG11,Shoppings,"7,00","16,35%","13,59%","0,72",693.847.000,1.377.570,3,"9.705,81","738,66","7,61%","1,60%"
BBPO11,Escritórios,"96,75","10,42%","0,00%","0,95",1.540.230.000,0,61,"3.690,03","479,56","13,00%","1,44%"
BBRC11,Outros,"104,01","11,34%","12,92%","0,99",165.376.000,117.772,21,"9.685,82","1.304,20","13,47%","12,53%"
BBVJ11,Escritórios,"62,99","2,23%","0,00%","0,86",197.789.000,0,1,"10.225,30","570,89","5,58%","43,70%"
BCFF11,Títulos e Val. Mob.,"7,35","8,06%","0,00%","0,84",1.480.960.000,0,0,"0,00","0,00","0,00%","0,00%"
BCIA11,Multicategoria,"94,49","11,64%","11,68%","0,90",351.412.000,578.179,0,"0,00","0,00","0,00%","0,00%"
BCRI11,Outros,"63,60","14,02%","15,53%","0,75",398.001.000,653.786,0,"0,00","0,00","0,00%","0,00%"
BFCC11,Escritórios,"102,06","4,87%","1,30%","1,04",847.547.000,8,1,"26.058,30","1.823,67","7,00%","0,00%"
BGRB11,Escritórios,"115,10","4,82%","5,16%","0,97",222.481.000,14.047,1,"45.220,10","2.916,01","6,45%","2,85%"
BICE11,Outros,"888,00","5,28%","5,29%","0,80",118.472.000,44,0,"0,00","0,00","0,00%","0,00%"
BICR11,Títulos e Val. Mob.,"35,92","14,26%","6,42%","0,86",17.960.000,0,0,"0,00","0,00","0,00%","0,00%"
BIME11,Outros,"6,55","10,14%","14,47%","0,77",38.288.700,51.978,1,"266,25","0,00","0,00%","0,00%"
BIPD11,Outros,"989,33","-2,41%","6,81%","1,03",109.261.000,0,2,"7.997,96","0,00","0,00%","0,00%"
BLCA11,Escritórios,"93,95","6,73%","6,75%","0,73",150.320.000,109.176,1,"35.463,90","3.084,95","8,70%","0,00%"
BLCP11,Logística,"91,00","5,41%","0,00%","0,81",208.962.000,0,2,"3.014,16","199,89","6,63%","0,00%"
BLMC11,Títulos e Val. Mob.,"85,75","11,10%","0,00%","0,91",34.257.100,0,0,"0,00","0,00","0,00%","0,00%"
BLMG11,Multicategoria,"34,51","11,74%","12,76%","0,74",161.319.000,265.910,1,"2.520,05","317,61","12,60%","0,00%"
BLMO11,Escritórios,"85,00","7,20%","7,53%","0,86",84.559.200,346.001,1,"10.261,30","965,29","9,41%","0,00%"
BLMR11,Títulos e Val. Mob.,"6,78","10,17%","0,00%","0,84",173.172.000,0,0,"0,00","0,00","0,00%","0,00%"
BLOG11,Multicategoria,"8,49","4,04%","3,40%","0,75",261.464.000,169,6,"2.035,30","145,71","7,16%","12,80%"
BLUR11,Títulos e Val. Mob.,"76,03","10,06%","1,96%","0,99",6.842.700,0,0,"0,00","0,00","0,00%","0,00%"
BMLC11,Outros,"102,20","8,12%","8,19%","0,90",102.037.000,10.881,1,"16.468,80","1.519,94","9,23%","0,00%"
BNFS11,Varejo,"66,48","17,62%","15,80%","0,95",46.536.000,80.404,18,"4.190,17","886,22","21,15%","0,44%"
BPFF11,Outros,"54,52","16,27%","8,74%","0,78",244.922.000,0,0,"0,00","0,00","0,00%","0,00%"
BPML11,Multicategoria,"99,99","9,45%","11,32%","0,81",744.100.000,3.677.530,4,"5.608,32","731,14","13,04%","8,23%"
BPRP11,Outros,"107,50","10,56%","0,00%","0,86",145.107.000,0,1,"6.230,68","692,07","11,11%","0,00%"
BRCO11,Logística,"121,10","6,25%","8,74%","1,04",2.182.380.000,5.498.080,12,"4.859,04","338,24","6,96%","7,59%"
BRCR11,Multicategoria,"47,92","10,89%","10,33%","0,56",1.276.500.000,2.617.730,6,"5.104,47","699,38","13,70%","3,22%"
BREV11,Híbrido,"105,00","6,59%","0,00%","0,00",101.556.000,0,13,"0,00","1.437,55","0,00%","0,00%"
BRIM11,Residencial,"270,00","-5,55%","0,00%","3,09",33.517.000,21.533,0,"0,00","0,00","0,00%","0,00%"
BRIP11,Multicategoria,"444,99","-7,64%","6,43%","0,80",95.884.200,8.602,0,"0,00","0,00","0,00%","0,00%"
BRLA11,Logística,"148,00","7,73%","5,33%","0,89",724.795.000,0,10,"1.083,60","86,30","7,96%","0,00%"
BROF11,Multicategoria,"62,50","10,85%","10,29%","0,57",725.676.000,471.373,1,"8.191,75","1.203,95","14,70%","9,64%"
BTAL11,Logística,"92,07","12,35%","10,64%","0,79",550.831.000,768.699,9,"1.502,54","186,41","12,41%","0,00%"
BTCI11,Outros,"9,27","12,84%","12,40%","0,92",922.561.000,2.788.640,0,"0,00","0,00","0,00%","0,00%"
BTCR11,Títulos e Val. Mob.,"88,00","12,48%","0,00%","0,92",423.289.000,0,0,"0,00","0,00","0,00%","0,00%"
BTHF11,Outros,"9,41","11,59%","11,93%","0,93",1.937.020.000,4.869.410,0,"0,00","0,00","0,00%","0,00%"
BTHI11,Hotel,"43,40","10,78%","10,45%","0,67",400.083.000,59.642,14,"7.968,32","851,60","10,69%","0,00%"
BTLG11,Multicategoria,"102,94","7,45%","9,09%","1,00",5.487.770.000,15.473.000,30,"3.603,59","259,60","7,20%","3,02%"
BTML11,Shoppings,"111,28","10,05%","11,30%","0,87",126.206.000,0,2,"22.543,70","2.388,55","10,60%","9,70%"
BTRA11,Outros,"68,95","9,08%","6,99%","0,61",231.986.000,283.459,5,"1,60","0,16","9,89%","5,76%"
BTSG11,Logística,"146,92","8,00%","8,08%","0,94",113.865.000,0,1,"6.039,20","523,02","8,66%","0,00%"
BTSI11,Outros,"109,59","6,49%","8,83%","0,89",698.522.000,0,5,"2.070,55","142,22","6,87%","0,00%"
BTWR11,Escritórios,"105,49","7,66%","7,59%","0,89",85.369.900,3,1,"4.254,07","476,93","11,21%","8,00%"
BTYU11,Outros,"9,13","14,81%","14,21%","0,90",273.900.000,6.134,0,"0,00","0,00","0,00%","0,00%"
BVAR11,Varejo,"1.260,89","3,94%","5,99%","1,62",788.737.000,32,43,"5.428,88","359,61","6,62%","20,19%"
CACR11,Multicategoria,"79,16","15,51%","19,84%","0,83",382.843.000,2.065.320,0,"0,00","0,00","0,00%","0,00%"
CARE11,Multicategoria,"5,21","0,27%","0,00%","0,75",187.592.000,7.525,1,"0,00","0,00","0,00%","0,00%"
CBOP11,Escritórios,"39,76","3,83%","4,29%","0,55",56.260.400,14.655,1,"3.324,11","324,97","9,78%","23,20%"
CCME11,Multicategoria,"8,87","12,16%","11,43%","0,84",601.360.000,293.108,1,"6.508,64","571,13","8,78%","27,98%"
CCRF11,Títulos e Val. Mob.,"92,50","7,16%","0,00%","0,95",145.401.000,0,0,"0,00","0,00","0,00%","0,00%"
CCVA11,Hospital,"100,07","6,76%","6,81%","0,97",62.816.300,0,1,"2.112,40","275,98","13,06%","2,25%"
CEOC11,Escritórios,"43,37","13,12%","12,94%","0,64",78.746.700,36.258,1,"0,00","770,13","0,00%","0,00%"
CFHI11,Multicategoria,"20,10","58,95%","37,08%","0,76",1.901.460,0,4,"0,00","0,00","0,00%","0,00%"
CFII11,Multicategoria,"768,97","1,51%","26,11%","1,06",97.135.500,60,9,"16.282,20","879,23","5,40%","0,00%"
CJCT11,Escritórios,"63,66","4,23%","4,36%","0,86",199.892.000,344.953,1,"10.414,80","780,92","7,50%","30,10%"
CLIN11,Outros,"92,07","13,42%","13,14%","0,94",400.206.000,1.045.590,0,"0,00","0,00","0,00%","0,00%"
CNES11,Escritórios,"1,55","5,65%","4,78%","0,24",52.909.000,117.365,1,"163,63","36,34","22,21%","54,70%"
COPP11,Outros,"103,00","4,99%","0,00%","0,94",290.462.000,0,3,"5,42","0,25","4,63%","18,00%"
CORM11,Outros,"81,00","4,57%","0,00%","0,85",87.581.800,0,3,"7.193,96","755,12","10,50%","0,00%"
CPFF11,Títulos e Val. Mob.,"69,90","18,07%","0,00%","1,12",75.470.800,0,0,"0,00","0,00","0,00%","0,00%"
CPLG11,Logística,"11,87","-0,12%","11,86%","1,10",516.850.000,11.275.500,2,"15,10","0,00","0,00%","0,00%"
CPOF11,Outros,"109,80","4,62%","5,51%","1,03",524.010.000,21.678.300,4,"4,48","0,27","6,10%","3,00%"
CPSH11,Shoppings,"10,62","5,11%","12,01%","0,93",846.412.000,8.859.900,8,"553,66","71,90","12,99%","0,00%"
CPTR11,Outros,"8,55","111,52%","7,68%","0,87",169.501.000,344.299,0,"0,00","0,00","0,00%","0,00%"
CPTS11,Outros,"8,12","5,68%","12,69%","0,88",2.827.760.000,8.669.500,0,"0,00","0,00","0,00%","0,00%"
CPUR11,Multicategoria,"10,30","8,67%","10,64%","1,05",698.605.000,597.034,14,"8.719,61","548,41","6,29%","0,71%"
CRAA11,Títulos e Val. Mob.,"104,15","7,75%","6,16%","1,02",246.818.000,936.752,0,"0,00","0,00","0,00%","0,00%"
CRFF11,Multicategoria,"76,00","9,29%","10,47%","0,87",52.443.000,12.237,0,"0,00","0,00","0,00%","0,00%"
CTXT11,Escritórios,"5,50","-20,82%","0,00%","0,31",29.617.000,979,1,"637,24","5,64","0,88%","100,00%"
CVBI11,Outros,"82,78","14,59%","14,35%","0,89",911.427.000,3.128.870,0,"0,00","0,00","0,00%","0,00%"
CXAG11,Varejo,"76,62","11,81%","11,73%","0,69",160.183.000,191.145,31,"2.786,78","365,53","13,12%","0,00%"
CXCE11,Escritórios,"42,73","13,35%","12,71%","0,68",73.194.400,24.608,1,"3.436,17","498,88","14,52%","0,00%"
CXCI11,Multicategoria,"73,50","13,03%","12,57%","0,83",151.243.000,101.821,0,"0,00","0,00","0,00%","0,00%"
CXCO11,Multicategoria,"72,18","12,57%","12,07%","0,76",283.270.000,158.906,10,"3.030,68","423,22","13,96%","0,00%"
CXRI11,Multicategoria,"67,13","10,62%","11,45%","0,77",105.781.000,23.567,0,"0,00","0,00","0,00%","0,00%"
CXTL11,Logística,"340,00","4,68%","2,98%","0,82",18.223.000,4.893,1,"2.565,32","500,73","19,52%","0,00%"
DAMA11,Multicategoria,"6,74","13,69%","14,29%","0,81",37.319.600,7.862,0,"0,00","0,00","0,00%","0,00%"
DAMT11,Shoppings,"12,76","7,30%","7,40%","0,88",226.870.000,203,2,"1.257,70","139,55","11,10%","3,29%"
DAYM11,Outros,"4,10","8,26%","5,85%","0,41",70.113.800,8.456,6,"3.199,62","666,45","20,83%","9,60%"
DCRA11,Outros,"7,45","19,02%","7,77%","0,77",50.204.800,103.378,0,"0,00","0,00","0,00%","0,00%"
DEVA11,Multicategoria,"24,28","19,19%","18,50%","0,25",341.010.000,919.865,0,"0,00","0,00","0,00%","0,00%"
DMAC11,Residencial,"13,00","-758,50%","0,00%","2,61",2.029.400,0,0,"0,00","0,00","0,00%","0,00%"
DOMC11,Multicategoria,"439,00","0,78%","0,00%","4,13",1.072.830.000,0,2,"25.593,60","364,83","1,43%","13,30%"
DOVL11,Escritórios,"650,35","13,32%","12,97%","1,12",43.187.100,0,2,"2.438,84","603,18","24,73%","0,00%"
DPRO11,Multicategoria,"5,90","12,14%","11,75%","0,63",29.519.000,1.313,1,"1.754,19","260,42","14,85%","0,00%"
DRIT11,Lajes Corporativas,"8,68","69,70%","1,70%","0,06",4.021.240,0,5,"400,14","474,83","118,67%","0,00%"
DVFF11,Outros,"5,83","13,64%","13,22%","0,66",64.185.400,93.980,0,"0,00","0,00","0,00%","0,00%"
EDFO11,Residencial,"120,00","10,59%","9,02%","0,56",28.320.000,22.333,1,"79.446,80","12.228,57","15,39%","100,05%"
EDGA11,Multicategoria,"14,70","3,66%","3,36%","0,33",56.037.200,15.784,1,"2.183,07","297,35","13,62%","24,38%"
EDGE11,Multicategoria,"1.071,80","12,83%","6,86%","0,89",12.255.000,27,0,"0,00","0,00","0,00%","0,00%"
EGAF11,Títulos e Val. Mob.,"97,47","12,99%","7,39%","0,98",305.268.000,873.960,0,"0,00","0,00","0,00%","0,00%"
EIRA11,Multicategoria,"104,50","9,69%","11,25%","0,99",20.951.200,1.797,0,"0,00","0,00","0,00%","0,00%"
ELDO11B,Shoppings,"1.104,31","11,11%","4,46%","0,61",869.375.000,0,1,"10.664,00","1.402,32","13,15%","0,49%"
EMET11,Multicategoria,"10,22","4,85%","11,52%","1,04",51.100.000,89.907,0,"0,00","0,00","0,00%","0,00%"
EQIN11,Multicategoria,"7,29","15,31%","0,00%","0,81",122.098.000,0,0,"0,00","0,00","0,00%","0,00%"
EQIR11,Multicategoria,"8,56","13,49%","13,89%","0,89",93.383.700,126.620,0,"0,00","0,00","0,00%","0,00%"
ERCR11,Residencial,"76.000,00","-0,26%","0,00%","6,61",180.576.000,0,0,"0,00","0,00","0,00%","0,00%"
ERPA11,Multicategoria,"126,10","6,42%","8,89%","0,76",63.166.300,6.537,1,"18.699,90","1.374,95","7,35%","0,00%"
EURO11,Logística,"336,03","7,36%","7,19%","0,85",129.014.000,41.163,7,"1.090,36","94,44","8,66%","0,00%"
EVBI11,Multicategoria,"9,50","4,93%","5,59%","0,97",546.231.000,0,11,"6.565,94","343,08","5,23%","0,49%"
EXES11,Multicategoria,"9,42","10,05%","16,32%","0,95",132.836.000,138.977,0,"0,00","0,00","0,00%","0,00%"
FAED11,Outros,"152,86","13,09%","13,12%","0,69",105.837.000,96.799,4,"0,00","317,12","0,00%","0,00%"
FAMB11,Residencial,"1.050,00","-3,01%","0,00%","1,06",128.665.000,41.857,1,"2.117,92","76,44","3,61%","98,01%"
FATN11,Multicategoria,"86,69","4,65%","6,29%","0,90",505.354.000,2.124.030,56,"29.367,70","2.564,26","8,73%","3,93%"
FCFL11,Multicategoria,"125,98","8,63%","8,55%","1,03",437.656.000,204.026,1,"14.263,70","1.258,30","8,82%","0,00%"
FEXC11,Outros,"83,50","1,31%","0,00%","8,44",8.310.020.000,0,0,"0,00","0,00","0,00%","0,00%"
FFCI11,Escritórios,"182,03","3,63%","0,00%","0,90",671.817.000,0,9,"17.089,90","1.216,83","7,12%","6,49%"
FGAA11,Outros,"9,16","14,43%","12,45%","0,97",412.946.000,1.184.740,0,"0,00","0,00","0,00%","0,00%"
FIGS11,Shoppings,"50,86","10,54%","11,03%","0,72",144.951.000,253.732,2,"2.202,74","235,59","10,70%","5,06%"
FIIB11,Logística,"460,00","10,06%","9,34%","0,78",315.100.000,1.024.430,11,"572,45","64,00","11,18%","1,10%"
FIIP11,Logística,"137,20","12,89%","12,13%","0,69",127.207.000,642.000,7,"1.817,33","265,87","14,63%","0,00%"
FISC11,Escritórios,"62,65","9,43%","10,47%","0,56",106.505.000,1.659,4,"8.513,86","1.031,88","12,12%","4,19%"
FISD11,Títulos e Val. Mob.,"203,32","-21,06%","0,00%","3,41",218.079.000,0,1,"0,00","0,00","0,00%","0,00%"
FIXX11,Outros,"94,10","1,43%","0,00%","7,15",1.764.010.000,102.934,0,"0,00","0,00","0,00%","0,00%"
FLCR11,Outros,"95,00","18,39%","13,88%","1,00",71.425.200,216.354,0,"0,00","0,00","0,00%","0,00%"
FLFL11,Escritórios,"100,00","6,93%","0,00%","0,73",345.426.000,0,1,"31.150,90","2.391,66","7,68%","29,13%"
FLMA11,Escritórios,"158,50","8,29%","8,15%","0,63",218.836.000,55.527,1,"19.185,90","2.026,76","10,56%","0,00%"
FLRP11,Shoppings,"20,99","8,91%","8,88%","0,99",158.744.000,22.776,1,"3.101,24","297,84","9,60%","1,65%"
FMOF11,Escritórios,"38,00","9,19%","19,00%","0,82",19.304.300,3.934,1,"0,00","257,82","0,00%","4,17%"
FPAB11,Escritórios,"209,01","6,49%","9,52%","0,58",156.758.000,14.697,2,"4.264,63","386,54","9,06%","19,00%"
FPNG11,Multicategoria,"465,05","1,26%","1,02%","2,18",1.415.360.000,23,8,"138.455,00","3.127,01","2,26%","2,29%"
FRBR11,Multicategoria,"103,71","9,23%","0,00%","1,08",1.324.330.000,0,0,"0,00","0,00","0,00%","0,00%"
FTCA11,Outros,"9,57","17,07%","8,05%","0,90",42.681.700,107.838,0,"0,00","0,00","0,00%","0,00%"
FTCE11,Multicategoria,"2.894,66","-12,09%","1,97%","1,00",3.835.220.000,0,84,"22.005,90","745,98","3,39%","33,76%"
FVBI11,Lajes Corporativas,"159,71","0,00%","0,00%","0,00",0,0,1,"0,00","636,95","0,00%","0,00%"
FVPQ11,Shoppings,"67,00","8,42%","7,67%","0,71",187.610.000,99.402,1,"3.150,59","461,37","14,64%","10,39%"
FYTO11,Multicategoria,"8,44","14,49%","14,31%","0,85",128.975.000,174.409,0,"0,00","0,00","0,00%","0,00%"
FZDA11,Outros,"120,52","3,50%","3,29%","0,66",186.806.000,5.496,6,"2,13","0,09","4,23%","0,00%"
FZDB11,Outros,"146,84","2,72%","2,77%","0,82",528.624.000,3.179,40,"3,77","0,13","3,34%","0,00%"
GALG11,Multicategoria,"9,08","7,99%","0,00%","0,98",1.338.920.000,0,4,"327,63","27,64","8,44%","0,00%"
GAME11,Outros,"9,10","4,98%","12,44%","0,93",258.678.000,153.923,0,"0,00","0,00","0,00%","0,00%"
GARE11,Multicategoria,"8,41","3,67%","11,73%","0,88",2.432.060.000,18.541.700,3,"188,46","27,09","14,37%","0,00%"
GCFF11,Títulos e Val. Mob.,"69,30","12,04%","0,00%","0,89",24.981.100,0,0,"0,00","0,00","0,00%","0,00%"
GCOI11,Residencial,"72,87","-7,20%","36,67%","0,99",8.234.310,692,0,"0,00","0,00","0,00%","0,00%"
GCRA11,Multicategoria,"55,70","12,82%","7,53%","0,65",97.523.200,220.050,0,"0,00","0,00","0,00%","0,00%"
GCRI11,Multicategoria,"68,49","12,65%","14,54%","0,76",99.574.800,205.747,1,"0,00","0,00","0,00%","0,00%"
GESE11B,Outros,"1.520,00","11,39%","0,00%","1,36",79.040.000,0,1,"0,00","725,37","0,00%","0,00%"
GFDL11,Logística,"111,84","-0,36%","0,14%","1,14",28.511.000,19.937,0,"0,00","0,00","0,00%","0,00%"
GGRC11,Multicategoria,"10,22","6,97%","11,67%","0,91",2.189.630.000,9.603.450,41,"2.225,29","237,34","10,67%","0,00%"
GLCR11,Multicategoria,"100,07","8,70%","8,58%","0,99",36.036.200,3.010,0,"0,00","0,00","0,00%","0,00%"
GLOG11,Logística,"71,00","7,05%","7,03%","0,65",53.250.000,298.622,1,"740,91","73,32","9,90%","0,00%"
GLPF11,Logística,"105,67","9,28%","10,07%","1,03",159.033.000,62.445,0,"0,00","0,00","0,00%","0,00%"
GRLV11,Logística,"145,50","5,72%","0,00%","24,38",156.199.000,0,1,"0,00","183,00","0,00%","3,69%"
GRUL11,Logística,"8,73","13,60%","12,56%","0,91",215.631.000,323.777,1,"3.601,65","512,20","14,22%","0,00%"
GRWA11,Outros,"7,99","12,17%","5,78%","0,79",22.040.300,12.702,0,"0,00","0,00","0,00%","0,00%"
GSFI11,Shoppings,"11,00","0,00%","0,00%","0,87",1.057.170.000,13.966.400,0,"0,00","0,00","0,00%","0,00%"
GTLG11,Logística,"63,99","13,75%","0,00%","0,70",459.000.000,0,5,"2.714,27","318,12","11,72%","1,69%"
GTWR11,Escritórios,"85,44","12,58%","12,27%","0,84",1.025.280.000,838.653,3,"6.161,41","801,81","13,01%","0,00%"
GURB11,Shoppings,"108,00","10,46%","0,00%","0,94",122.597.000,0,2,"21.746,70","2.369,56","10,90%","9,70%"
GWIR11,Shoppings,"175,99","2,80%","0,00%","0,74",67.231.200,0,0,"0,00","0,00","4,21%","0,00%"
GZIT11,Multicategoria,"45,43","11,71%","21,34%","0,50",992.247.000,939.785,4,"9.839,42","1.375,05","13,97%","3,42%"
HAAA11,Escritórios,"58,45","4,71%","2,20%","0,90",201.945.000,4.842,2,"16.679,00","1.163,02","6,97%","17,10%"
HABT11,Multicategoria,"76,37","14,84%","15,81%","0,80",620.642.000,1.369.970,0,"0,00","0,00","0,00%","0,00%"
HBCR11,Multicategoria,"135,10","5,62%","9,96%","1,15",216.160.000,839.148,3,"1.794,07","207,09","11,54%","0,00%"
HBRH11,Multicategoria,"90,80","4,63%","0,00%","0,81",256.345.000,0,5,"8.349,82","606,90","7,27%","2,83%"
HBTT11,Títulos e Val. Mob.,"1.055,00","6,53%","0,00%","1,19",190.126.000,0,0,"0,00","0,00","0,00%","0,00%"
HCHG11,Outros,"80,25","9,95%","9,77%","0,90",96.300.000,54.503,0,"0,00","0,00","0,00%","0,00%"
HCRI11,Hospital,"293,75","33,59%","16,97%","1,06",58.750.000,35.471,1,"0,00","2.185,59","0,00%","0,00%"
HCTR11,Multicategoria,"21,20","17,61%","17,08%","0,20",468.185.000,1.099.840,0,"0,00","0,00","0,00%","0,00%"
HDEL11,Logística,"100,05","28,61%","24,73%","1,12",84.042.000,6.928,1,"0,00","311,17","0,00%","0,00%"
HFOF11,Multicategoria,"6,82","10,24%","9,87%","0,86",1.539.850.000,2.480.910,0,"0,00","0,00","0,00%","0,00%"
HGAG11,Outros,"11,10","5,83%","14,60%","0,47",2.755.600,456,0,"0,00","0,00","0,00%","0,00%"
HGBL11,Logística,"9,23","9,64%","9,54%","0,99",242.396.000,336.572,1,"1.758,30","169,20","9,62%","0,00%"
HGBS11,Shoppings,"20,45","8,01%","9,07%","0,99",2.640.770.000,3.987.260,17,"4.472,30","416,55","9,31%","3,89%"
HGCR11,Outros,"95,62","12,29%","12,66%","0,97",1.474.280.000,3.928.910,0,"0,00","0,00","0,00%","0,00%"
HGFF11,Outros,"62,38","14,46%","9,94%","0,77",178.631.000,0,0,"0,00","0,00","0,00%","0,00%"
HGIC11,Multicategoria,"60,72","5,70%","15,11%","0,55",28.095.600,5.411,2,"1.361,86","0,00","0,00%","0,00%"
HGJH11,Escritórios,"191,29","9,55%","0,00%","0,55",335.342.000,0,2,"26.273,60","2.781,84","10,59%","3,42%"
HGLG11,Multicategoria,"157,91","6,51%","8,30%","0,95",6.696.120.000,14.191.900,28,"4.012,09","287,79","7,17%","2,91%"
HGPO11,Escritórios,"149,81","-0,74%","0,00%","0,99",262.625.000,167.735,0,"0,00","0,00","0,00%","0,00%"
HGRE11,Escritórios,"129,81","6,96%","9,56%","0,88",1.534.060.000,2.859.280,13,"8.389,56","782,46","9,33%","16,90%"
HGRU11,Outros,"128,89","7,78%","9,50%","1,00",2.995.150.000,6.217.950,100,"4.656,67","435,65","9,36%","0,81%"
HILG11,Logística,"186,81","-1,88%","32,01%","0,71",98.309.500,0,1,"32,33","57,05","176,47%","0,00%"
HIRE11,Outros,"100,36","0,00%","1,58%","1,00",275.017.000,6.412,4,"11.416,80","0,00","0,00%","0,00%"
HJCT11,Escritórios,"115,00","0,68%","2,75%","1,29",113.994.000,8.091,1,"14.677,90","38,29","0,26%","8,00%"
HLOG11,Logística,"9,26","8,71%","9,47%","0,77",393.550.000,52.443,3,"2.022,65","233,44","11,54%","1,31%"
HMOC11,Shoppings,"226,95","2,17%","0,00%","0,95",86.698.800,0,0,"0,00","0,00","3,27%","0,00%"
HOFC11,Escritórios,"31,98","-3,91%","0,00%","0,55",120.852.000,398.435,2,"1.951,60","498,00","25,52%","51,84%"
HOSI11,Residencial,"82,00","3,46%","6,69%","0,68",47.022.900,5.901,0,"0,00","0,00","0,00%","0,00%"
HPDP11,Shoppings,"92,82","7,34%","7,92%","0,96",305.192.000,746.624,1,"2.262,69","170,42","7,53%","0,66%"
HRDF11,Multicategoria,"3,61","0,58%","0,00%","0,41",5.477.900,9.358,0,"0,00","0,00","0,00%","0,00%"
